Geneid,"RNA STAR on dataset 4, 5, and others: mapped.bam"
Myo81F,1
spok,0
Parp,24
Alg-2,339
Tim17b,1069
CG41128,143
CG41099,82
CG42402,408
Gfat1,569
CG40198,1659
CG12581,1552
Dsk,237
beta-Man,98
CG14636,31
aux,120
CG31516,2
DhpD,166
CG14641,126
abs,3
Gel,653
CG14642,10
CG34305,12
TwdlF,0
TwdlG,3
CG14644,1
TwdlV,2
Or82a,0
CG1092,145
CG9766,43
cpx,34304
CG9780,1498
Vps24,1097
MP1,267
Suv3,202
Syt14,698
CG9795,299
CG9776,121
Skp2,30
CG14645,0
CG1103,164
hkb,0
CG1090,3321
Sfxn1-3,875
Cont,234
tub,317
CG14646,108
CG34112,26
CG9855,429
CG9853,156
CG14647,64
lost,3462
CG32944,51
CG31528,0
srl,129
CG31525,0
eIF3a,338
CG1074,35
CG9804,70
CG14650,187
CG31522,2453
CG31523,1403
CG14651,0
Fip1,57
CG34357,70
CG34425,0
Mur82C,0
CG32945,0
5-HT2A,1128
CG9775,1363
slx1,1
MED31,63
Dlip2,41
rpk,0
Karybeta3,2148
spartin,17
CG43427,1771
CG33927,0
eIF3f1,784
Nep2,211
tacc,3269
atms,106
CG44098,125
CG44088,0
CG14655,6
CG17387,3
ctrip,1162
Hus1-like,51
CG1129,192
CG1126,1
CG14657,230
CG14658,0
CG14659,0
opa,40
laf,0
Gnf1,56
Cdep,801
Ubc6,2355
CG14661,918
CG2016,333
CG1124,1027
CG14662,7
plh,34
corto,1387
CG43131,4
CG12007,78
CG12589,0
dpr16,53
CG12590,1
cno,1613
Prosbeta2R2,1
CG1116,102
CG2604,1251
CG14664,6
Vps37B,520
Kat60,344
Mms19,77
rtp,2874
CG12163,2006
CG33293,20
CG1113,4
CG12173,22
Hph,523
Tim17a2,1
mtd,3129
CG31538,16
Tim17b1,1
CG11999,132
CG1161,1747
Prosbeta7,698
Cerk,587
CG31542,0
CG34277,0
RpII18,157
hd,6
CG14667,66
7B2,2261
kkv,518
CG14668,1
CG1172,105
Or83a,0
CG2663,3
Orco,152
CG14669,1478
CG12147,0
PEK,308
RpL35A,1267
POLDIP2,209
mRpL44,84
Snr1,53
CG45100,614
HDAC3,0
Hcs,139
ksr,294
CG31550,466
NKCC,32
Nmdar1,249
Itp-r83A,431
CG43845,15
CG2519,1153
mia,13
Pcmt,320
Snm1,9
Pi4KIIalpha,194
CG14671,71
CG12746,116
CG2931,27
Rheb,373
CRMP,1211
CG2926,1393
rev7,32
noi,60
Vha26,16327
kra,4201
CG1427,777
asl,16
Rga,20
Atu,37
Spec2,336
CG2911,32
RpL13A,13933
CG31551,0
CG31549,243
CG12171,180
CG31546,0
CG31548,197
CG12170,76
MTA1-like,176
Sec23,506
elm,1950
MED27,16
CG2182,175
Wdr33,19
Xe7,824
Atg17,565
Rab23,85
plx,205
CG2104,0
cas,1
CG1239,16
CG2100,5
CG1236,89
Sym,43
Madm,805
CG2091,47
Sec8,231
CG2082,1083
jagn,1669
kat-60L1,79
Hat1,61
Rpn5,640
CG1218,54
CG2046,201
CG10979,262
CG11000,1028
CG42675,43
Hpr1,62
CG46303,11
CG2023,142
dgrn,38
glob3,139
CG1208,416
CG1213,1004
