Geneid	RNA STAR on dataset 4, 5, and others: mapped.bam
Myo81F	594
CR41571	0
CR12798	0
CR46123	0
CR46122	0
CR40182	0
Pzl	29
CR45220	0
spok	9
Parp	3169
Alg-2	1707
CR46141	0
Tim17b	2756
CG41128	1870
CG41099	4647
CG42402	2055
Gfat1	4819
CR41601	1
CG40198	2770
CG12581	5133
CR33294	66
Dsk	730
beta-Man	2080
CG14636	231
aux	1152
CG31516	3
DhpD	786
CG14641	1050
abs	95
Gel	11273
CR46255	5
CG14642	16
CG34305	56
TwdlU	3
TwdlF	1
TwdlG	29
CG14644	8
TwdlV	9
Or82a	3
CG1092	1120
CG9766	140
CR45597	51
cpx	43491
CG9780	11228
mir-929	7
Vps24	2604
MP1	1636
CR46140	41
Suv3	1181
Syt14	1634
CG9795	1700
CG9776	1603
Skp2	190
CG14645	1
CG1103	514
hkb	0
CG1090	5153
CR44922	596
Sfxn1-3	4277
Cont	4341
tub	1536
CG14646	595
CG34112	64
CR46139	13
CR45999	40
CG9855	1476
CG9853	1036
CG14647	820
CR45187	14
lost	11010
CG32944	510
CG31528	1
srl	675
CG31525	0
eIF3a	7937
CG1074	517
CR46138	4
CG9804	364
CR44134	7
CG14650	1002
CG31522	5727
CR43629	120
CG31523	3193
CG14651	2
Fip1	765
CG34357	518
CG34425	6
CR31526	0
Mur82C	0
CG32945	0
CR45558	6
CR44317	391
5-HT2A	6243
CR45673	17
CG9775	5636
slx1	44
MED31	428
Dlip2	289
rpk	1
CR44155	0
Karybeta3	15249
spartin	248
CG43427	4399
CR44156	0
CR44157	21
CG33927	1
eIF3f1	4347
CR44923	3
Nep2	3471
tacc	10529
CR46137	6
mir-9384	3
atms	1074
CG44098	458
CG44088	0
CG14655	54
CG17387	14
ctrip	10045
Hus1-like	241
CG1129	1237
CG1126	37
CG14657	306
CG14658	0
CG14659	0
opa	118
laf	0
CR45580	0
Gnf1	623
Cdep	7638
CR45188	22
snRNA:U1:82Eb	410
Ubc6	3415
CG14661	5768
CG2016	2101
CG1124	4763
CG14662	18
CR43478	1
CR43424	3
plh	140
CR45585	2
CR43635	2
CR45588	2
corto	1886
CG43131	32
CG12007	883
CG12589	0
dpr16	364
CG12590	3
cno	3138
snRNA:U4atac	15032
Prosbeta2R2	5
CG1116	631
CG2604	7544
CG14664	13
Vps37B	1512
Kat60	1320
Mms19	1238
rtp	15080
CG12163	12473
CG33293	37
CR44019	29
CG1113	114
CG12173	616
Hph	1476
Tim17a2	1
CR45793	6
CR45033	0
mtd	9966
CG31538	91
Tim17b1	2
CG11999	655
CG1161	3753
Prosbeta7	4810
Cerk	4652
CR44103	1
CG31542	0
CG34277	0
RpII18	515
hd	42
CG14667	429
7B2	9119
kkv	4869
CG14668	6
tRNA:Arg-TCG-4-1	4
CG1172	235
Or83a	0
CG2663	19
Orco	852
CG14669	1953
CG12147	0
PEK	2142
RpL35A	8789
POLDIP2	1522
mRpL44	694
Snr1	414
CG45100	0
HDAC3	0
Hcs	1647
ksr	1815
CG31550	985
NKCC	823
Nmdar1	1086
Itp-r83A	4927
CG43845	53
CG2519	3827
mia	101
Pcmt	1112
Snm1	80
Pi4KIIalpha	777
snoRNA:Pi4KIIalpha-a	1523
CR46136	2
CG14671	429
CG12746	1284
CG2931	193
Rheb	1216
CRMP	2066
CG2926	1976
rev7	138
noi	493
Vha26	24389
kra	21629
snoRNA:Psi28S-3385b	523
snoRNA:Psi28S-3385a	1100
snoRNA:Psi28S-3091b	1469
snoRNA:Psi28S-3091a	696
snoRNA:Psi28S-3571	3980
snoRNA:Psi28S-3186	227
snoRNA:Psi28S-2442b	5355
snoRNA:Psi28S-2442a	114
CG1427	997
asl	226
Rga	1725
ASTR	49
CR46135	29
Atu	818
Spec2	437
CG2911	193
RpL13A	19975
snoRNA:Me28S-U2134b	15
snoRNA:Me28S-U2134a	0
CG31551	0
CG31549	1099
CG12171	1004
CG31546	4
CG31548	1171
CG12170	786
MTA1-like	947
Sec23	5245
elm	4098
MED27	100
CG2182	2876
CR44093	25
Wdr33	1073
CR46134	8
Xe7	1339
Atg17	4109
Rab23	153
plx	5592
CG2104	0
cas	2
CR44924	3
CG1239	121
CG2100	361
CG1236	671
Sym	623
Madm	2812
CG2091	391
Sec8	2308
CG2082	2402
jagn	2587
kat-60L1	586
Hat1	1061
Rpn5	6561
CG1218	603
CG2046	1295
CG10979	993
CG11000	1543
CG42675	585
Hpr1	657
CG46303	21
CG2023	482
dgrn	246
glob3	0
CG1208	1478
CR45192	4
CG1213	9458
CG14676	2
CR10991	0
disp	1445
CG34287	1
ECSIT	37
CG2017	3954
CR46133	13
CG34113	1177
CR45761	0
