Geneid	RNA STAR on dataset 4, 5, and others: mapped.bam
Myo81F	589
Pzl	29
spok	9
Parp	3169
Alg-2	1576
Tim17b	2276
CG41128	1866
CG41099	4560
CG42402	1400
Gfat1	4531
CG40198	1467
CG12581	2713
Dsk	727
beta-Man	2064
CG14636	218
aux	1046
CG31516	1
DhpD	745
CG14641	1034
abs	95
Gel	10374
CG14642	15
CG34305	54
TwdlF	1
TwdlG	11
CG14644	7
TwdlV	8
Or82a	3
CG1092	1102
CG9766	111
cpx	8469
CG9780	10330
Vps24	1855
MP1	1526
Suv3	1060
Syt14	888
CG9795	1574
CG9776	1553
Skp2	180
CG14645	1
CG1103	352
hkb	0
CG1090	3753
Sfxn1-3	3852
Cont	4034
tub	1267
CG14646	545
CG34112	38
CG9855	1124
CG9853	998
CG14647	820
lost	8165
CG32944	281
CG31528	1
srl	527
CG31525	0
eIF3a	7763
CG1074	513
CG9804	357
CG14650	840
CG31522	2849
CG31523	1742
CG14651	2
Fip1	756
CG34357	305
CG34425	6
Mur82C	0
CG32945	0
5-HT2A	4937
CG9775	4042
slx1	44
MED31	372
Dlip2	289
rpk	1
Karybeta3	13653
spartin	230
CG43427	2996
CG33927	1
eIF3f1	4237
Nep2	3155
tacc	8177
atms	960
CG44098	312
CG44088	0
CG14655	43
CG17387	12
ctrip	8754
Hus1-like	243
CG1129	950
CG1126	38
CG14657	159
CG14658	0
CG14659	0
opa	70
laf	0
Gnf1	609
Cdep	5658
Ubc6	1299
CG14661	5293
CG2016	1848
CG1124	4379
CG14662	19
plh	122
corto	383
CG43131	32
CG12007	858
CG12589	0
dpr16	215
CG12590	1
cno	2346
Prosbeta2R2	4
CG1116	593
CG2604	6885
CG14664	7
Vps37B	1145
Kat60	1029
Mms19	1231
rtp	14434
CG12163	10932
CG33293	12
CG1113	111
CG12173	616
Hph	871
Tim17a2	1
mtd	5242
CG31538	77
Tim17b1	2
CG11999	622
CG1161	3510
Prosbeta7	4689
Cerk	3647
CG31542	0
CG34277	0
RpII18	513
hd	42
CG14667	419
7B2	8197
kkv	4455
CG14668	6
CG1172	114
Or83a	0
CG2663	16
Orco	691
CG14669	385
CG12147	0
PEK	1786
RpL35A	8762
POLDIP2	1358
mRpL44	685
Snr1	408
CG45100	73
HDAC3	599
Hcs	1431
ksr	1478
CG31550	973
NKCC	715
Nmdar1	834
Itp-r83A	4247
CG43845	21
CG2519	2711
mia	91
Pcmt	1062
Snm1	75
Pi4KIIalpha	568
CG14671	421
CG12746	1060
CG2931	186
Rheb	761
CRMP	1640
CG2926	1574
rev7	133
noi	481
Vha26	9828
kra	19220
CG1427	991
asl	224
Rga	1106
Atu	809
Spec2	118
CG2911	178
RpL13A	19972
CG31551	0
CG31549	1060
CG12171	981
CG31546	3
CG31548	1150
CG12170	785
MTA1-like	763
Sec23	5005
elm	2876
MED27	98
CG2182	2623
Wdr33	1022
Xe7	1263
Atg17	2770
Rab23	66
plx	5029
CG2104	0
cas	1
CG1239	121
CG2100	360
CG1236	669
Sym	609
Madm	1748
CG2091	391
Sec8	2156
CG2082	1419
jagn	1206
kat-60L1	522
Hat1	994
Rpn5	6008
CG1218	598
CG2046	1286
CG10979	745
CG11000	291
CG42675	430
Hpr1	654
CG46303	19
CG2023	403
dgrn	199
glob3	0
CG1208	1191
CG1213	8946
CG14676	1
disp	1111
CG34287	0
ECSIT	37
CG2017	3521
CG34113	642
CG11373	0
Obp83a	799
Obp83b	1755
Rm62	5457
CG10280	2
CG11459	302
CG15580	5
Or83c	3
Gasp	2349
Obp83cd	346
Obp83ef	165
Obp83g	573
Vha14-2	0
CG31559	1
CG1077	0
Osi1	2
NPFR	148
Osi24	82
Osi2	657
Osi3	24
Osi4	7
Osi5	1
Osi6	6
Osi7	2
Osi8	53
Osi9	129
Osi10	0
Osi11	0
Osi12	6
CG15597	31
CG15594	1
Osi13	2
Osi14	0
Osi15	4
Osi16	0
CG46026	0
CG31560	0
Osi17	10
Osi18	3
Osi19	14
Osi20	7
CG17917	0
CG10298	0
CG17919	3103
SmD2	361
CG18048	171
Hr83	4
Pak	1654
CG42724	453
CG10286	686
CRAT	1660
CG42564	4
CG1024	368
CG42537	0
TfIIFalpha	695
godzilla	3812
Dmtn	3507
gpp	841
CG9727	1041
Zif	1043
Neurochondrin	5734
CG15186	372
CG15185	0
dpr11	271
Pif2	0
CG1137	16
CG2336	1
CG1138	1
CG31482	1
glob2	0
sowi	0
CG15177	0
sunz	0
CG31286	2
CG1315	173
Taf1	1204
CG1307	731
twr	1142
agt	164
lab	17
Edg84A	1
Ccp84Ag	14
Ccp84Af	0
Ccp84Ae	1
Ccp84Ad	14
Ccp84Ac	7
Ccp84Ab	365
Ccp84Aa	46
pb	178
zen2	0
CG34297	6
zen	0
bcd	0
Ama	91
Dfd	892
Scr	76
ftz	0
Antp	19
Sodh-1	4844
CG1979	130
dj	0
djl	0
CG1988	0
CG1105	1194
CG1965	935
Ufl1	1969
CG1943	1699
Ref1	921
Dpck	958
Tailor	773
alphaTub84B	26615
e(y)2b	3
Alh	1097
Mlp84B	14555
CG10098	1385
CG10068	707
CG31248	1314
CG31493	0
Fer1	374
CG14610	0
CG2656	331
gfzf	2720
Sas-4	116
MAGE	87
sas	2093
CG10055	891
lap	3408
CG14609	36
CG1288	1
CG14606	0
CG14605	1
thw	129
CG14607	2
CG1234	570
CG10053	83
CG1227	447
CG10050	86
Obp84a	303
Gld	970
Syt4	5289
rn	117
RacGAP84C	1
CG42544	1
CG10029	0
CG44335	0
CG31496	0
nxf4	0
CG43290	0
CG17944	0
Mst84Dd	0
Mst84Dc	0
Mst84Db	0
Mst84Da	0
MstProx	0
CG42650	0
Ir84a	9
wa-cup	5
CG14598	25
CG1142	268
alpha-Est10	1068
CG42656	64
alpha-Est9	2954
Mics1	59
alpha-Est8	2995
Ubc84D	22
alpha-Est7	8681
alpha-Est6	0
Rtnl2	1
alphaTub84D	2115
alpha-Est5	46
alpha-Est4	59
alpha-Est3	1184
alpha-Est2	960
alpha-Est1	3217
CG45545	0
Nlg3	741
Nlg1	338
CG2616	0
CG43254	0
pyd3	3059
CG10919	1
Sp7	1900
CG11286	0
CG18747	2
CG18745	0
CG18748	0
CG18746	2
CG10086	0
CG2641	136
CG18744	1
CG3014	28
CG18268	19
CG2993	472
sgll	1420
CG31473	148
CG34384	1971
CG17816	3028
ArgRS-m	389
mRpS9	2839
wtrw	3804
EMC1	4185
Taf7	360
Prat	282
CG2846	1640
CG2678	76
CG10445	43
lds	221
dsx	618
CD98hc	8057
Os-C	1999
Sfp84E	0
CG2781	2714
PIG-H	163
Kmn2	10
CG2698	670
CG2767	6772
CG11052	213
CG3223	2306
CG10435	530
Pbp95	127
CG2747	9235
ImpE3	40
CG10903	461
CG11035	518
unc-45	1438
CG43060	3
CG43618	1
CG43061	1
mAChR-B	358
CG7910	23
CG7900	990
puc	817
CG7878	1328
CG9667	233
Gie	659
grn	232
CheA84a	5
CG7800	426
CG18249	818
DNApol-iota	610
Ada2b	707
CG9636	431
CG18749	48
CG33722	910
CG15864	6
mtg	322
RpA-70	1106
Mcm2	165
CG9630	372
ato	5
CG11671	45
CG11672	1
CG31464	0
CG31463	0
CG9626	333
mRpL1	791
nac	240
Sgt1	1225
tex	153
CG11693	8
CG11694	0
CG11698	1
CG7483	1285
Coq2	111
Ctr1B	157
Poxm	12
Or85a	7
CG7443	0
COX7A	1912
Arl2	362
CG9601	246
COX7AL	3
DppIII	3341
CG7352	12
Atg13	1736
stck	2061
CG9684	457
CG7963	2
CG45263	1062
Obp85a	3
Or85b	10
Or85c	0
CG11737	652
CG31454	15
CG31259	3
CG11741	7
Or85d	14
pch2	259
mRpS18A	530
CG31460	116
Cenp-C	103
5-HT2B	240
Or85e	27
Cyp313b1	144
Mkk4	1250
SLIRP2	188
Dhod	1014
CG11753	361
CG42489	312
bel	4812
p	2142
CG8032	1074
CG8036	9994
mRpL19	668
CG9773	500
CG11755	94
CG8043	208
CG33325	0
CG44227	0
hb	31
Cks85A	233
CG8112	1186
TMEM216	194
CG11760	165
CG8136	50
nom	174
ouib	1
CG8159	114
ranshi	131
M1BP	729
CG8202	589
CG9801	1742
CG8223	715
CG11768	248
CG34135	85
CG8236	8
CG13318	315
CG34301	21
Pif1A	7616
Pif1B	6162
CG33191	64
CG33189	47
Ir85a	8
CCT7	2017
CG9839	311
hng2	57
CG9837	402
CG9821	334
CG8369	14736
IscU	3618
CG8379	862
pyd	4669
osk	0
skap	16896
CG11964	700
CG11966	2
CAHbeta	488
RagA-B	719
CG11970	819
E(var)3-9	532
CG11975	781
CG31100	935
CG11977	0
CG11980	734
Prosbeta3	4065
CG11982	516
CG11983	52
Kcmf1	5055
Sf3b5	551
CG11986	158
tgo	316
neur	304
hyx	329
Nmdmc	3542
Rel	7739
Mst85C	350
Kdm2	1242
beag	793
Ada	96
pum	1930
CG11997	150
D1	1276
Vps15	2167
CG8420	17
St2	22
CG16734	95
CG16736	14
Ibf2	236
Ibf1	370
VhaM8.9	6527
sage	67
TrpRS	956
Vps16A	1640
CG8861	1285
HP1e	0
CG12951	1
CG16749	29
Aduk	592
pasi2	804
CG45050	3068
CG43675	193
CG18473	65
CG8129	273
FER	4918
Or85f	11
CG34117	555
RpL34b	3179
CG8132	765
CG9356	740
CG8135	455
CG42511	55
CG44261	1
betaTub85D	25
Task7	898
alpha-Man-IIa	1355
ps	2636
GstZ1	250
GstZ2	724
CG16779	1000
phu	233
RhoL	743
CG8149	772
rump	1238
Ras85D	1029
Rlb1	293
mRpL47	1071
JHDM2	950
CG8176	2739
by	2099
mura	617
RnpS1	259
CG9386	344
CG8199	1309
AP-1mu	2106
MBD-like	316
CG9393	425
Vps45	832
CG16789	191
CG16790	205
CG9396	1397
CG9399	1079
Kap-alpha3	5966
CG8273	187
CG8301	831
CG33654	2
P58IPK	1748
bocks	654
CG8312	2121
CG9427	1148
CG8319	180
Calr	7945
SpdS	1660
Scm	673
Dh44	661
Fst	0
CG9492	310
CG43441	0
CG8358	296
CG16817	3411
nmdyn-D7	19
CG9444	464
eca	395
CG18542	1
Unc-115b	2
p24-2	1
CG32939	0
Unc-115a	712
trbd	2519
dmt	322
hyd	6228
FoxP	350
alphaTub85E	430
CG12950	1651
Pnn	863
CG34409	70
CG31415	3
CG12948	452
PpD3	877
CG16908	322
Rpt3R	7
CG8412	1015
CG8417	2802
Snap24	1122
CG8478	22
MED6	250
CG8481	1600
CG9471	306
Whamy	12
topi	21
RpS29	12513
CG12947	93
MtnA	3655
CG8500	982
CG12945	1498
CG8507	2020
CG8516	505
CG9467	1341
CG8526	17
FBXO11	1170
CG8534	0
eloF	0
CG16904	2
CG9459	0
CG9458	0
CG42857	0
CG34302	0
Teh1	160
Glut4EF	1727
Art4	343
Gr85a	2
Spn85F	20
CG5359	64
Mical	5684
CG31407	5
CG3909	441
CG11722	486
mtTFB2	87
CG12811	714
ohgt	1780
Fancl	1
Npc2e	4
Npc2d	0
Npc2c	0
CG33630	0
CG33631	0
CG33783	0
CG33784	63
nerfin-2	19
CG5361	3
Fmr1	921
CG3940	1851
gammaSnap2	803
ATPsynepsilonL	16
knk	1286
tws	620
TAF1B	129
CG42759	28
Invadolysin	2963
CG34303	1
CG6254	441
Best1	1694
CG12814	2117
Syn	4750
Timp	1679
CG12420	15
CG12817	201
CG34107	0
CG42795	1140
CG3999	3000
Sirt6	82
pont	536
CG43143	798
CG6293	598
Bruce	11383
CG12818	95
sle	353
CG12592	15
CG18545	0
CG31406	0
jumu	177
Rfx	234
cwo	1244
mthl11	11
CG6325	633
Irp-1B	6484
Rrp46	156
CG6345	359
CG46270	0
Cyp12e1	559
hth	1025
CG6465	458
CG14688	4553
Skeletor	609
pug	11467
CG14683	1415
CG31391	4
CG31467	48
CG14684	1
CG31278	126
CG31373	18
CG14689	2
CG4073	0
tomboy20	2
TkR86C	176
CG14691	2
CG31272	121
MED7	708
Cap-H2	900
TfIIFbeta	705
CG45076	1296
fau	7078
CG45078	159
Desi	66
CG42633	38
mRpL37	477
Rbp1	431
Art1	1080
Mcm5	158
CG14687	1856
CG14692	243
CG14693	32
CG4089	755
Cad86C	667
CG42394	884
CG4565	86
CG6567	478
CG4511	473
CG4570	4
CG14694	493
CG6574	768
SelR	2107
Tsp86D	616
Fdh	3838
CG4596	419
Sodh-2	1229
CG14695	70
Tpc1	565
CG14696	823
Leash	126
Adk3	693
CG6621	217
Tengl4	0
CG34114	1260
CG43449	0
CG6629	0
Ugt86Dd	3675
CG4706	0
CheA86a	0
Ugt86Di	107
Ugt86Dc	30
Ugt86Da	1302
CG4757	489
Ugt86Dg	0
Ugt86De	31
Ugt35b	6510
Ugt35a	690
Ugt86Dj	1
Ugt86Dh	1
CG18577	40
cu	3096
SdhC	4868
Tctp	17812
ZnT86D	409
RpS25	15951
CG4820	158
CG6689	814
CG6693	700
RpL3	29946
scpr-C	26
CG17726	333
GCC88	1285
CG17187	265
CG14701	196
Arfip	618
CG17721	174
CG31441	44
CG31388	237
scpr-B	3
scpr-A	0
CG17734	1818
CG5214	7608
pros	765
KP78a	62
KP78b	51
mRpL40	332
mgr	821
Irbp	272
Ranbp9	1450
CG6723	3711
CG45676	25
ninaG	395
CG5270	1894
CG18643	72
RpL24-like	4218
CG5276	652
CG6744	907
CG5281	478
sals	414
