Geneid	Length
Myo81F	6246
Pzl	6481
spok	1659
Parp	2982
Alg-2	534
Tim17b	519
CG41128	216
CG41099	3376
CG42402	2341
Gfat1	2191
CG40198	552
CG12581	1995
Dsk	423
beta-Man	2724
CG14636	1167
aux	3495
CG31516	744
DhpD	1344
CG14641	1254
abs	1857
Gel	2399
CG14642	1176
CG34305	237
TwdlF	1062
TwdlG	834
CG14644	879
TwdlV	753
Or82a	1155
CG1092	1182
CG9766	1020
cpx	626
CG9780	1776
Vps24	669
MP1	1227
Suv3	2289
Syt14	1944
CG9795	2215
CG9776	3788
Skp2	1677
CG14645	291
CG1103	690
hkb	891
CG1090	2087
Sfxn1-3	963
Cont	4170
tub	1386
CG14646	1227
CG34112	437
CG9855	1146
CG9853	1017
CG14647	1005
lost	1635
CG32944	1783
CG31528	1032
srl	3201
CG31525	948
eIF3a	3420
CG1074	1464
CG9804	702
CG14650	2910
CG31522	1176
CG31523	1062
CG14651	3237
Fip1	2103
CG34357	5219
CG34425	1596
Mur82C	1734
CG32945	498
5-HT2A	2792
CG9775	1373
slx1	891
MED31	625
Dlip2	678
rpk	1704
Karybeta3	3315
spartin	1659
CG43427	6990
CG33927	546
eIF3f1	840
Nep2	2322
tacc	4151
atms	1614
CG44098	2592
CG44088	372
CG14655	1575
CG17387	2901
ctrip	9420
Hus1-like	834
CG1129	1107
CG1126	1143
CG14657	1333
CG14658	399
CG14659	291
opa	1827
laf	2265
Gnf1	3024
Cdep	14667
Ubc6	453
CG14661	738
CG2016	762
CG1124	738
CG14662	1650
plh	579
corto	1650
CG43131	363
CG12007	1545
CG12589	288
dpr16	1495
CG12590	999
cno	8277
Prosbeta2R2	966
CG1116	1329
CG2604	1290
CG14664	252
Vps37B	642
Kat60	1815
Mms19	2877
rtp	594
CG12163	2367
CG33293	258
CG1113	1686
CG12173	768
Hph	1532
Tim17a2	672
mtd	4959
CG31538	1689
Tim17b1	537
CG11999	648
CG1161	816
Prosbeta7	804
Cerk	2061
CG31542	597
CG34277	933
RpII18	393
hd	1704
CG14667	1011
7B2	828
kkv	5022
CG14668	810
