Geneid	Length
Myo81F	78
spok	108
Parp	55
Alg-2	682
Tim17b	274
CG41128	53
CG41099	766
CG42402	1498
Gfat1	191
CG40198	987
CG12581	2705
Dsk	119
beta-Man	102
CG14636	106
aux	660
CG31516	490
DhpD	151
CG14641	210
abs	56
Gel	123
CG14642	775
CG34305	53
TwdlF	132
TwdlG	131
CG14644	87
TwdlV	242
Or82a	3
CG1092	106
CG9766	347
cpx	8788
CG9780	213
Vps24	2541
MP1	219
Suv3	1157
Syt14	1671
CG9795	867
CG9776	271
Skp2	667
CG14645	99
CG1103	413
hkb	533
CG1090	2754
Sfxn1-3	266
Cont	259
tub	432
CG14646	407
CG34112	732
CG9855	400
CG9853	375
CG14647	105
lost	930
CG32944	213
CG31528	92
srl	985
CG31525	84
eIF3a	324
CG1074	127
CG9804	184
CG14650	479
CG31522	1335
CG31523	1273
CG14651	160
Fip1	217
CG34357	1788
CG34425	56
Mur82C	3
CG32945	157
5-HT2A	1911
CG9775	424
slx1	215
MED31	48
Dlip2	138
rpk	749
Karybeta3	538
spartin	176
CG43427	4470
CG33927	3
eIF3f1	364
Nep2	498
tacc	1500
atms	54
CG44098	1203
CG44088	159
CG14655	334
CG17387	154
ctrip	1546
Hus1-like	90
CG1129	341
CG1126	69
CG14657	2082
CG14658	156
CG14659	124
opa	819
laf	88
Gnf1	158
Cdep	2986
Ubc6	1527
CG14661	105
CG2016	73
CG1124	239
CG14662	181
plh	168
corto	6597
CG43131	76
CG12007	227
CG12589	133
dpr16	558
CG12590	152
cno	6777
Prosbeta2R2	261
CG1116	260
CG2604	210
CG14664	1136
Vps37B	287
Kat60	706
Mms19	257
rtp	310
CG12163	404
CG33293	293
CG1113	3
CG12173	21
Hph	1635
Tim17a2	138
mtd	3834
CG31538	230
Tim17b1	201
CG11999	130
CG1161	485
Prosbeta7	122
Cerk	288
CG31542	1161
CG34277	49
RpII18	56
hd	86
CG14667	180
7B2	168
kkv	548
CG14668	67
CG1172	3333
Or83a	3
CG2663	231
Orco	272
CG14669	3794
CG12147	378
PEK	832
RpL35A	81
POLDIP2	130
mRpL44	101
Snr1	92
CG45100	1435
HDAC3	69
Hcs	489
ksr	2350
CG31550	1941
NKCC	281
Nmdar1	939
Itp-r83A	763
CG43845	162
CG2519	1525
mia	275
Pcmt	256
Snm1	249
Pi4KIIalpha	638
CG14671	219
CG12746	78
CG2931	114
Rheb	377
CRMP	1685
CG2926	5099
rev7	167
noi	223
Vha26	2005
kra	724
CG1427	1153
asl	108
Rga	101
Atu	72
Spec2	1000
CG2911	21
RpL13A	574
CG31551	3
CG31549	155
CG12171	178
CG31546	145
CG31548	137
CG12170	78
MTA1-like	1777
Sec23	162
elm	615
MED27	134
CG2182	120
Wdr33	134
Xe7	1780
Atg17	1132
Rab23	1180
plx	884
CG2104	1080
cas	579
CG1239	39
CG2100	67
CG1236	108
Sym	143
Madm	1391
CG2091	116
Sec8	229
CG2082	1338
jagn	945
kat-60L1	348
Hat1	135
Rpn5	167
CG1218	64
CG2046	93
CG10979	1603
CG11000	4992
CG42675	65
Hpr1	100
CG46303	91
CG2023	1682
dgrn	341
glob3	438
CG1208	502
CG1213	160
CG14676	148
disp	827
CG34287	182
ECSIT	17
CG2017	232
CG34113	2287
CG11373	140
Obp83a	146
Obp83b	91
Rm62	2931
CG10280	3
CG11459	369
CG15580	96
Or83c	3
Gasp	1394
Obp83cd	120
Obp83ef	140
Obp83g	75
Vha14-2	1138
CG31559	462
CG1077	77
Osi1	141
NPFR	1257
Osi24	500
Osi2	115
Osi3	285
Osi4	218
Osi5	92
Osi6	882
Osi7	1613
Osi8	213
Osi9	459
Osi10	3
Osi11	192
Osi12	694
CG15597	192
CG15594	351
Osi13	723
Osi14	164
Osi15	481
Osi16	204
CG46026	72
CG31560	111
Osi17	514
Osi18	249
Osi19	259
Osi20	331
CG17917	40
CG10298	116
CG17919	80
SmD2	282
CG18048	4
Hr83	3
Pak	2152
CG42724	3669
CG10286	224
CRAT	214
CG42564	83
CG1024	908
CG42537	83
TfIIFalpha	78
godzilla	995
Dmtn	400
gpp	4040
CG9727	1908
Zif	152
Neurochondrin	175
CG15186	756
CG15185	120
dpr11	2502
Pif2	412
CG1137	100
CG2336	259
CG1138	442
CG31482	139
glob2	1684
sowi	32
CG15177	207
sunz	167
CG31286	1129
CG1315	151
Taf1	256
CG1307	495
twr	153
agt	635
lab	644
Edg84A	27
Ccp84Ag	478
Ccp84Af	74
Ccp84Ae	75
Ccp84Ad	72
Ccp84Ac	320
Ccp84Ab	113
Ccp84Aa	87
pb	411
zen2	117
CG34297	27
zen	162
bcd	837
Ama	423
Dfd	492
Scr	2265
ftz	474
Antp	3528
Sodh-1	46
CG1979	212
dj	325
djl	116
CG1988	317
CG1105	432
CG1965	2586
Ufl1	101
CG1943	709
Ref1	352
Dpck	111
Tailor	160
alphaTub84B	259
e(y)2b	188
Alh	1795
Mlp84B	1425
CG10098	361
CG10068	504
CG31248	24
CG31493	152
Fer1	232
CG14610	33
CG2656	75
gfzf	437
Sas-4	58
MAGE	131
sas	594
CG10055	496
lap	3369
CG14609	166
CG1288	1043
CG14606	400
CG14605	546
thw	454
CG14607	168
CG1234	20
CG10053	24
CG1227	137
CG10050	1058
Obp84a	119
Gld	715
Syt4	1500
rn	1428
RacGAP84C	179
CG42544	3
CG10029	112
CG44335	287
CG31496	79
nxf4	101
CG43290	183
CG17944	64
Mst84Dd	94
Mst84Dc	111
Mst84Db	124
Mst84Da	86
MstProx	367
CG42650	132
Ir84a	3
wa-cup	48
CG14598	456
CG1142	24
alpha-Est10	250
CG42656	64
alpha-Est9	1153
Mics1	198
alpha-Est8	462
Ubc84D	80
alpha-Est7	191
alpha-Est6	72
Rtnl2	94
alphaTub84D	124
alpha-Est5	771
alpha-Est4	68
alpha-Est3	1450
alpha-Est2	155
alpha-Est1	242
CG45545	26
Nlg3	1966
Nlg1	1177
CG2616	343
CG43254	71
pyd3	110
CG10919	66
Sp7	611
CG11286	476
CG18747	109
CG18745	102
CG18748	202
CG18746	93
CG10086	363
CG2641	83
CG18744	82
CG3014	345
CG18268	202
CG2993	1410
sgll	379
CG31473	128
CG34384	2149
CG17816	3665
ArgRS-m	904
mRpS9	73
wtrw	396
EMC1	406
Taf7	596
Prat	374
CG2846	474
CG2678	732
CG10445	332
lds	262
dsx	5497
CD98hc	213
Os-C	129
Sfp84E	176
CG2781	557
PIG-H	215
Kmn2	271
CG2698	1453
CG2767	179
CG11052	137
CG3223	155
CG10435	205
Pbp95	439
CG2747	473
ImpE3	54
CG10903	179
CG11035	1085
unc-45	902
CG43060	887
CG43618	48
CG43061	141
mAChR-B	1320
CG7910	96
CG7900	246
puc	962
CG7878	138
CG9667	25
Gie	1228
grn	1573
CheA84a	34
CG7800	75
CG18249	326
DNApol-iota	849
Ada2b	1290
CG9636	1646
CG18749	201
CG33722	2007
CG15864	61
mtg	534
RpA-70	245
Mcm2	106
CG9630	61
ato	213
CG11671	98
CG11672	372
CG31464	33
CG31463	95
CG9626	369
mRpL1	86
nac	116
Sgt1	399
tex	33
CG11693	100
CG11694	83
CG11698	68
CG7483	154
Coq2	373
Ctr1B	306
Poxm	788
Or85a	3
CG7443	138
COX7A	241
Arl2	25
CG9601	213
COX7AL	165
DppIII	114
CG7352	81
Atg13	1115
stck	241
CG9684	140
CG7963	3
CG45263	8588
Obp85a	3
Or85b	3
Or85c	3
CG11737	223
CG31454	3
CG31259	622
CG11741	240
Or85d	3
pch2	753
mRpS18A	31
CG31460	84
Cenp-C	299
5-HT2B	2978
Or85e	3
Cyp313b1	466
Mkk4	2553
SLIRP2	104
Dhod	125
CG11753	109
CG42489	77
bel	813
p	186
CG8032	679
CG8036	150
mRpL19	40
CG9773	101
CG11755	209
CG8043	76
CG33325	3
CG44227	73
hb	901
Cks85A	2534
CG8112	1386
TMEM216	1849
CG11760	1326
CG8136	128
nom	684
ouib	200
CG8159	57
ranshi	88
M1BP	149
CG8202	224
CG9801	837
CG8223	308
CG11768	4840
CG34135	1230
CG8236	131
CG13318	37
CG34301	43
Pif1A	3495
Pif1B	330
CG33191	30
CG33189	89
Ir85a	324
CCT7	218
CG9839	97
hng2	401
CG9837	1422
CG9821	4376
CG8369	59
IscU	387
CG8379	185
pyd	2669
osk	1031
skap	682
CG11964	107
CG11966	1829
CAHbeta	802
RagA-B	384
CG11970	254
E(var)3-9	288
CG11975	582
CG31100	104
CG11977	31
CG11980	84
Prosbeta3	144
CG11982	177
CG11983	285
Kcmf1	394
Sf3b5	38
CG11986	104
tgo	984
neur	1448
hyx	411
Nmdmc	152
Rel	44
Mst85C	486
Kdm2	1044
beag	122
Ada	54
pum	4605
CG11997	229
D1	439
Vps15	395
CG8420	141
St2	552
CG16734	22
CG16736	39
Ibf2	62
Ibf1	153
VhaM8.9	421
sage	224
TrpRS	280
Vps16A	139
CG8861	1767
HP1e	14
CG12951	56
CG16749	72
Aduk	601
pasi2	582
CG45050	4593
CG43675	1537
CG18473	112
CG8129	168
FER	641
Or85f	3
CG34117	67
RpL34b	203
CG8132	148
CG9356	63
CG8135	151
CG42511	2377
CG44261	158
betaTub85D	273
Task7	431
alpha-Man-IIa	529
ps	8977
GstZ1	74
GstZ2	1184
CG16779	5598
phu	137
RhoL	319
CG8149	163
rump	1409
Ras85D	950
Rlb1	19
mRpL47	50
JHDM2	102
CG8176	637
by	2587
mura	3474
RnpS1	99
CG9386	70
CG8199	343
AP-1mu	201
MBD-like	124
CG9393	490
Vps45	231
CG16789	212
CG16790	778
CG9396	72
CG9399	589
Kap-alpha3	993
CG8273	365
CG8301	610
CG33654	3
P58IPK	302
bocks	309
CG8312	498
CG9427	68
CG8319	69
Calr	373
SpdS	570
Scm	982
Dh44	986
Fst	292
CG9492	394
CG43441	191
CG8358	62
CG16817	425
nmdyn-D7	89
CG9444	110
eca	201
CG18542	427
Unc-115b	405
p24-2	2727
CG32939	427
Unc-115a	727
trbd	755
dmt	551
hyd	332
FoxP	1332
