Geneid	Length
Myo81F	195
Pzl	9
Parp	75
Alg-2	74
Tim17b	168
CG41128	95
CG41099	287
CG42402	1352
Gfat1	2517
CG40198	28
CG12581	761
Dsk	27
beta-Man	811
CG14636	212
aux	387
CG31516	434
DhpD	95
CG14641	100
abs	82
Gel	1004
CG14642	22
CG34305	10
TwdlF	41
TwdlG	1200
CG14644	233
TwdlV	72
CG1092	204
CG9766	135
cpx	2265
CG9780	193
Vps24	116
MP1	79
Suv3	110
Syt14	442
CG9795	816
CG9776	201
Skp2	68
CG14645	19
CG1103	289
hkb	143
CG1090	648
Sfxn1-3	559
Cont	313
tub	188
CG14646	60
CG34112	213
CG9855	172
CG9853	603
CG14647	68
lost	126
CG32944	1179
CG31528	104
srl	456
CG31525	139
eIF3a	148
CG1074	96
CG9804	222
CG14650	241
CG31522	957
CG31523	1697
CG14651	7
Fip1	98
CG34357	697
CG34425	102
Mur82C	48
CG32945	51
5-HT2A	894
CG9775	1135
slx1	33
MED31	438
Dlip2	87
rpk	83
Karybeta3	511
spartin	407
CG43427	1806
eIF3f1	97
Nep2	316
tacc	1013
atms	372
CG44098	1448
CG44088	7
CG14655	228
CG17387	38
ctrip	903
Hus1-like	245
CG1129	1296
CG1126	16
CG14657	513
CG14658	48
CG14659	34
opa	293
laf	54
Gnf1	92
Cdep	1011
Ubc6	186
CG14661	240
CG2016	815
CG1124	139
CG14662	169
plh	155
corto	1047
CG43131	12
CG12007	81
CG12589	1472
dpr16	869
CG12590	139
cno	970
Prosbeta2R2	92
CG1116	359
CG2604	234
CG14664	16
Vps37B	112
Kat60	141
Mms19	99
rtp	56
CG12163	214
CG33293	110
CG1113	303
CG12173	78
Hph	1172
Tim17a2	181
mtd	5685
CG31538	239
Tim17b1	47
CG11999	126
CG1161	93
Prosbeta7	289
Cerk	472
CG31542	52
CG34277	821
RpII18	92
hd	465
CG14667	69
7B2	152
kkv	131
CG14668	71
CG1172	259
CG2663	490
Orco	211
CG14669	743
CG12147	80
PEK	464
RpL35A	69
POLDIP2	262
mRpL44	58
Snr1	133
CG45100	111
HDAC3	277
Hcs	361
ksr	269
CG31550	96
NKCC	437
Nmdar1	240
Itp-r83A	1057
CG43845	462
CG2519	498
mia	548
Pcmt	133
Snm1	51
Pi4KIIalpha	592
CG14671	90
CG12746	502
CG2931	94
Rheb	302
CRMP	133
CG2926	563
rev7	70
noi	127
Vha26	243
kra	876
CG1427	123
asl	97
Rga	1046
Atu	104
Spec2	493
CG2911	755
RpL13A	26
CG31549	204
CG12171	65
CG31546	62
CG31548	47
CG12170	32
MTA1-like	854
Sec23	317
elm	139
MED27	67
CG2182	282
Wdr33	243
Xe7	507
Atg17	1100
Rab23	283
plx	1591
CG2104	44
cas	193
CG1239	119
CG2100	99
CG1236	41
Sym	348
Madm	475
CG2091	97
Sec8	179
CG2082	877
jagn	113
kat-60L1	250
Hat1	298
Rpn5	224
CG1218	94
CG2046	95
CG10979	180
CG11000	828
CG42675	1185
Hpr1	108
CG46303	109
CG2023	91
dgrn	679
glob3	92
CG1208	464
CG1213	723
CG14676	78
disp	403
CG34287	64
ECSIT	86
CG2017	608
CG34113	1146
CG11373	42
Obp83a	378
Obp83b	14
Rm62	1061
CG11459	36
CG15580	46
Gasp	135
Obp83cd	53
Obp83ef	26
Obp83g	56
Vha14-2	152
CG31559	179
CG1077	35
Osi1	96
NPFR	502
Osi24	530
Osi2	455
Osi3	232
Osi4	119
Osi5	194
Osi6	28
Osi7	213
Osi8	100
Osi9	202
Osi11	69
Osi12	176
CG15597	40
CG15594	134
Osi13	165
Osi14	123
Osi15	109
Osi16	23
CG46026	21
CG31560	20
Osi17	1304
Osi18	103
Osi19	81
Osi20	93
CG17917	33
CG10298	68
CG17919	92
SmD2	139
CG18048	82
Pak	1301
CG42724	203
CG10286	52
CRAT	480
CG42564	4
CG1024	176
CG42537	23
TfIIFalpha	129
godzilla	1163
Dmtn	1908
gpp	1851
CG9727	565
Zif	199
Neurochondrin	236
CG15186	2201
CG15185	21
dpr11	1069
Pif2	121
CG1137	126
CG2336	133
CG1138	86
CG31482	68
glob2	76
sowi	147
CG15177	131
sunz	94
CG31286	90
CG1315	48
Taf1	101
CG1307	106
twr	147
agt	78
lab	547
Edg84A	61
Ccp84Ag	46
Ccp84Af	53
Ccp84Ae	55
Ccp84Ad	66
Ccp84Ac	89
Ccp84Ab	58
Ccp84Aa	63
pb	971
zen2	189
CG34297	44
zen	46
bcd	445
Ama	507
Dfd	489
Scr	1061
ftz	70
Antp	2841
Sodh-1	261
CG1979	72
dj	324
djl	124
CG1988	145
CG1105	98
CG1965	109
Ufl1	127
CG1943	286
Ref1	178
Dpck	95
Tailor	220
alphaTub84B	143
e(y)2b	189
Alh	1250
Mlp84B	226
CG10098	112
CG10068	205
CG31248	200
CG31493	115
Fer1	452
CG14610	39
CG2656	92
gfzf	399
Sas-4	41
MAGE	116
sas	563
CG10055	102
lap	418
CG14609	124
CG1288	121
CG14606	211
CG14605	183
thw	357
CG14607	101
CG1234	86
CG10053	160
CG1227	318
CG10050	83
Obp84a	19
Gld	348
Syt4	181
rn	870
RacGAP84C	143
CG10029	38
CG44335	255
CG31496	144
nxf4	103
CG43290	35
CG17944	92
